team,driver_name,event_name,livery_name,year,manufacturer,sku_1_18,sku_1_43,notes,verification_status
Red Bull Racing,Sergio Perez,Turkish GP,RB16B,2021,Minichamps,110211611D,410211611,3rd Turkish GP 2021 Diecast Model; 3rd Place Turkey GP Car Model; 3rd Türkiye GP Car Model; 3rd Turkey GP Car Model; 3rd Place Car Model,"CONFIRMED — the same SKU is listed by Stone Model and Notjustcollectibles and LIVECARMODEL, two independent shops agreeing on a structured field"
Scuderia Ferrari,Carlos Sainz,Bahrain GP,SF21,2021,Looksmart,,LSF1036,,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Carlos Sainz,British GP,SF21,2021,Looksmart,LS18F1039,LSF1039,,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Carlos Sainz,Emilia Romagna GP (Imola),SF21,2021,BBR,BBR211855DIE,BBRC260BRAIN,5th Emilia Romagna GP 2021 Car Model,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Carlos Sainz,Monaco GP,SF21,2021,Looksmart,LS18F1037,LSF1037,2nd Monaco GP 2021 Scuderia Ferrari Carlos Sainz Jr.,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Carlos Sainz,Season,SF21,2021,Bburago,,18-36828CS,,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Charles Leclerc,Bahrain GP,SF21,2021,Looksmart,,LSF1035,,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Charles Leclerc,British GP,SF21,2021,Looksmart,,LSF1038,2nd British GP 2021 Charles Leclerc,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Scuderia Ferrari,Charles Leclerc,Emilia Romagna GP (Imola),SF21,2021,BBR,BBR211806ER,,4th Place #16 Charles Leclerc with Green Intermediate Tires Car Model,"CONFIRMED — the same SKU is listed by Stone Model, two independent shops agreeing on a structured field"
Scuderia Ferrari,Charles Leclerc,Season,SF21,2021,Looksmart,SF21MWD,,,SINGLE SOURCE — only Stone Model lists this; SKU is unconfirmed and the car is inferred from one title
Williams,George Russell,Bahrain GP,FW43B,2021,Minichamps,,447210163,,"CONFIRMED — the same SKU is listed by Stone Model and LIVECARMODEL, two independent shops agreeing on a structured field"
Williams,George Russell,Belgian GP,FW43B,2021,Minichamps,117211363,417211363,1st Podium 1:18 MINICHAMPS; 1st Podium 1:43 MINICHAMPS; 2nd Place Resin Car Model; 2nd Belgian GP Car Model,"CONFIRMED — the same SKU is listed by Anthony's and Stone Model and LIVECARMODEL, two independent shops agreeing on a structured field"
Williams,George Russell,Saudi Arabian GP,FW43B,2021,Minichamps,147212263,447212263,,"CONFIRMED — the same SKU is listed by Stone Model and LIVECARMODEL, two independent shops agreeing on a structured field"
Williams,George Russell,Season,FW43B,2021,Minichamps,,447210663,,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Williams,Nicholas Latifi,Bahrain GP,FW43B,2021,Minichamps,,417210106,,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Williams,Nicholas Latifi,Belgian GP,FW43B,2021,Minichamps,117211306,417211306,,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
Williams,Nicholas Latifi,Saudi Arabian GP,FW43B,2021,Minichamps,117212206,417212206,,SINGLE SOURCE — only LIVECARMODEL lists this; SKU is unconfirmed and the car is inferred from one title
